City,Japanese,Prefecture,Population,Area,Density,Founded
Tottori,鳥取市,Tottori,"200,315",765.66,262,1889-10-01
Yonago,米子市,Tottori,"149,140",132.21,"1,128",1927-04-01
Kurayoshi,倉吉市,Tottori,"51,453",272.15,189,1953-10-01
Sakaiminato,境港市,Tottori,"35,908",28.79,"1,247",1956-04-01
Toyama,富山市,Toyama,"421,116","1,241.85",339,1889-04-01
Uozu,魚津市,Toyama,"45,945",200.63,229,1952-04-01
Himi,氷見市,Toyama,"53,316",230.47,231,1952-08-01
Namerikawa,滑川市,Toyama,"33,789",54.61,619,1954-03-01
Tonami,砺波市,Toyama,"49,396",126.96,389,1954-04-01
Oyabe,小矢部市,Toyama,"32,656",134.11,244,1962-08-01
Nanto,南砺市,Toyama,"57,061",668.86,85.3,2004-11-01
Takaoka,高岡市,Toyama,"178,965",209.38,855,2005-11-01
Imizu,射水市,Toyama,"94,691",109.18,867,2005-11-01
Kurobe,黒部市,Toyama,"42,612",426.34,99.9,2006-03-31
Wakayama,和歌山市,Wakayama,"372,175",209.23,"1,779",1889-04-01
Kainan,海南市,Wakayama,"55,877",101.18,552,1934-05-01
Tanabe,田辺市,Wakayama,"80,478","1,026.77",78.4,1942-05-20
GoboGobō,御坊市,Wakayama,"26,335",43.93,599,1954-04-01
Arida,有田市,Wakayama,"31,194",36.92,845,1956-05-01
ShinguShingū,新宮市,Wakayama,"32,654",255.43,128,2005-10-01
Kinokawa,紀の川市,Wakayama,"67,192",228.24,294,2005-11-07
Hashimoto,橋本市,Wakayama,"67,505",130.31,518,2006-03-01
Iwade,岩出市,Wakayama,"51,843",38.50,"1,347",2006-04-01
Yamagata,山形市,Yamagata,"255,370",381.34,670,1889-04-01
Yonezawa,米沢市,Yamagata,"91,704",548.74,167,1889-04-01
ShinjoShinjō,新庄市,Yamagata,"39,808",223.08,178,1949-04-01
Sagae,寒河江市,Yamagata,"43,299",139.08,311,1954-08-01
Kaminoyama,上山市,Yamagata,"35,086",240.95,146,1954-10-01
Murayama,村山市,Yamagata,"27,586",196.83,140,1954-11-01
Nagai,長井市,Yamagata,"30,285",214.69,141,1954-11-15
TendoTendō,天童市,Yamagata,"63,470",113.01,562,1958-10-01
Higashine,東根市,Yamagata,"46,141",207.17,223,1958-11-03
Obanazawa,尾花沢市,Yamagata,"19,937",372.32,53.5,1959-04-10
Nan'yoNan'yō,南陽市,Yamagata,"34,542",160.70,215,1967-04-01
Tsuruoka,鶴岡市,Yamagata,"140,097","1,311.51",107,2005-10-01
Sakata,酒田市,Yamagata,"114,964",602.79,191,2005-11-01
Ube,宇部市,Yamaguchi,"176,370",287.69,613,1921-11-01
HofuHōfu,防府市,Yamaguchi,"116,393",188.59,617,1936-08-25
Kudamatsu,下松市,Yamaguchi,"54,026",89.36,605,1939-11-03
ShunanShūnan,周南市,Yamaguchi,"150,299",656.25,229,2003-04-21
Hikari,光市,Yamaguchi,"53,274",91.94,579,2004-10-04
Shimonoseki,下関市,Yamaguchi,"286,073",716.06,400,2005-02-13
Yanai,柳井市,Yamaguchi,"35,438",139.90,253,2005-02-21
Hagi,萩市,Yamaguchi,"55,831",698.87,79.9,2005-03-06
Nagato,長門市,Yamaguchi,"39,825",357.92,111,2005-03-22
San'yo-OnodaSan'yō-Onoda,山陽小野田市,Yamaguchi,"65,523",132.99,493,2005-03-22
Yamaguchi,山口市,Yamaguchi,"192,008",730.23,263,2005-10-01
Iwakuni,岩国市,Yamaguchi,"146,885",872.71,168,2006-03-20
Mine,美祢市,Yamaguchi,"23,140",234.56,98.7,2008-03-21
KofuKōfu,甲府市,Yamanashi,"199,374",212.41,939,1889-07-01
Fujiyoshida,富士吉田市,Yamanashi,"51,879",121.83,426,1951-03-20
Tsuru,都留市,Yamanashi,"34,439",161.58,213,1954-04-29
OtsukiŌtsuki,大月市,Yamanashi,"29,869",280.30,107,1954-08-08
Nirasaki,韮崎市,Yamanashi,"33,539",143.73,233,1954-10-10
Minami-Alps,南アルプス市,Yamanashi,"72,295",264.06,274,2003-04-01
Kai,甲斐市,Yamanashi,"74,077",71.94,"1,030",2004-09-01
Fuefuki,笛吹市,Yamanashi,"71,184",201.92,353,2004-10-12
Hokuto,北杜市,Yamanashi,"47,754",602.89,79.2,2004-11-01
Uenohara,上野原市,Yamanashi,"28,295",170.65,166,2005-02-13
Yamanashi,山梨市,Yamanashi,"38,202",289.87,132,2005-03-22
KoshuKōshū,甲州市,Yamanashi,"35,072",264.01,133,2005-11-01
ChuoChūō,中央市,Yamanashi,"31,875",31.81,"1,002",2006-02-20
Moriyama,守山市,Aichi,1954-06-01,1963-02-15,merged into Nagoya,
Bisai,尾西市,Aichi,1955-01-01,2005-04-01,merged into Ichinomiya,
Shinshiro (previous),新城市,Aichi,1958-11-01,2005-10-01,"merged with Hōrai, Tsukude → Shinshiro (current)",
Honjō,本荘市,Akita,1954-03-31,2005-05-22,"merged with Chōkai, Higashiyuri, Iwaki, Nishime, Ōuchi, Yashima, Yuri → Yurihonjō",
Ōmagari,大曲市,Akita,1954-05-03,2005-03-22,"merged with Kamioka, Kyōwa, Nakasen, Nishisenboku, Ōta, Semboku, Nangai → Daisen",
Yuzawa (previous),湯沢市,Akita,1954-03-31,2005-03-22,"merged with Inakawa, Minase, Ogachi → Yuzawa (current)",
Oga (previous),男鹿市,Akita,1954-03-31,2005-03-22,merged with Wakami → Oga (current),
Yokote (previous),横手市,Akita,1951-04-01,2005-10-01,"merged with Hiraka+Jūmonji, Masuda, Omonogawa, Ōmori, Sannai, Taiyū → Yokote (current)",
Noshiro (previous),能代市,Akita,1940-10-01,2005-10-01,merged with Futatsui → Noshiro (current),
Towada (previous),十和田市,Aomori,1955-02-01,2005-03-28,merged with Towadako → Towada (current),
Goshogawara (previous),五所川原市,Aomori,1955-02-01,2005-03-28,"merged with Kanagi, Shiura → Goshogawara (current)",
Aomori (previous),青森市,Aomori,1898-04-01,2005-04-01,merged with Namioka → Aomori (current),
Hirosaki (previous),弘前市,Aomori,1889-04-01,2006-11-15,"merged with Iwaki, Sōma → Hirosaki (current)",
Ichihara (previous),市原市,Chiba,1963-05-01,1967-10-01,"merged with Nansō, Kamo → Ichihara (current)",
Mobara (previous),茂原市,Chiba,1952-04-01,1972-05-01,merged with Honnō → Mobara (current),
Kamogawa (previous),鴨川市,Chiba,1971-03-31,2005-02-11,merged with Amatsukominato → Kamogawa (current),
Asahi (previous),旭市,Chiba,1954-07-01,2005-07-01,"merged with Hikata, Iioka, Unakami → Asahi (current)",
Yōkaichiba,八日市場市,Chiba,1954-07-01,2006-01-23,merged with Nosaka → Sōsa,
Sawara,佐原市,Chiba,1951-03-15,2006-03-27,"merged with Kurimoyo, Omigawa, Yamada → Katori",
Iyomishima,伊予三島市,Ehime,1954-11-01,2004-04-01,"merged with Kawanoe, Doi, Shingū → Shikokuchūō",
Kawanoe,川之江市,Ehime,1954-11-01,2004-04-01,"merged with Iyomishima, Doi, Shingū → Shikokuchūō",
Saijō (previous),西条市,Ehime,1941-04-29,2004-11-01,"merged with Tōyo, Komatsu, Tanbara → Saijō (current)",
Tōyo,東予市,Ehime,1972-10-01,2004-11-01,"merged with Saij, Komatsu, Tanbara → Saijō (current)",
Hōjō,北条市,Ehime,1958-11-01,2005-01-01,merged into Matsuyama,
Ōzu (previous),大洲市,Ehime,1954-09-01,2005-01-11,"merged with Hijikawa, Nagahama, Kawabe → Ōzu (current)",
Imabari (previous),今治市,Ehime,1920-02-11,2005-01-16,"merged with Hakata, Kamiura, Kikuma, Miyakubo, Namikata, Ōmishima Ōnishi, Tamagawa, Yoshiumi, Asakura, Sekizen → Imabari (current)",
Yawatahama (previous),八幡浜市,Ehime,1935-02-11,2005-04-01,merged with Honai → Yawatahama (current),
Iyo (previous),伊予市,Ehime,1955-01-01,2005-04-01,"merged with Nakayama, Futami → Iyo (current)",
Uwajima (previous),宇和島市,Ehime,1921-08-01,2005-08-01,"merged with Mima, Tsushima, Yoshida → Uwajima (current)",
Takefu,武生市,Fukui,1948-04-01,2005-1001,merged with Imadate → Echizen,
Moji,門司市,Fukuoka,1899-04-01,1963-02-10,"merged with Kokura, Tobata, Yahata, Wakamatsu → Kitakyushu",
Kokura,小倉市,Fukuoka,1900-04-01,1963-02-10,"merged with Moji, Tobata, Yahata, Wakamatsu → Kitakyushu",
Tobata,戸畑市,Fukuoka,1924-09-01,1963-02-10,"merged with Moji, Kokura, Yahata, Wakamatsu → Kitakyushu",
Yahata,八幡市,Fukuoka,1917-03-01,1963-02-10,"merged with Moji, Kokura, Tobata, Wakamatsu → Kitakyushu",
Wakamatsu,若松市,Fukuoka,1914-04-01,1963-02-10,"merged with Moji, Kokura, Tobata, Yahata → Kitakyushu",
Iizuka (previous A),飯塚市,Fukuoka,1932-01-20,1963-04-01,"merged with Kobukuro, Futase, Chinzei → Iizuka (previous B)",
Munakata,宗像市,Fukuoka,1981-04-01,2003-04-01,merged with Genkai → Munakata (current),
Yanagawa,柳川市,Fukuoka,1952-04-01,2005-03-21,"merged with Yamato, Mitsuhashi → Yanagawa (current)",
Amagi,甘木市,Fukuoka,1954-04-01,2006-03-20,"merged with Asakura, Haki → Asakura",
Iizuka (previous B),飯塚市,Fukuoka,1963-04-01,2006-03-26,"merged with Chikuho, Honami, Kaita, Shōnai → Iizuka (current)",
Yamada,山田市,Fukuoka,1954-04-01,2006-03-27,"merged with Inatsuki, Kaho, Usui → Kama",
Maebaru,前原市,Fukuoka,1992-10-01,2010-01-01,"merged with Nijō, Shima → Itoshima",
Kōriyama (previous),郡山市,Fukushima,1924-09-01,1965-05-01,"merged with Nishida, Nakata → Kōriyama (current)",
Taira,平市,Fukushima,1937-06-01,1966-10-01,"merged with Iwaki (previous), Jōban, Uchigō, Nakoso → Iwaki (current)",
Iwaki (previous),磐城市,Fukushima,1954-03-31,1966-10-01,"merged with Taira, Jōban, Uchigō, Nakoso → Iwaki (current)",
Jōban,常磐市,Fukushima,1954-03-31,1966-10-01,"merged with Taira, Iwaki (previous), Uchigō, Nakoso → Iwaki (current)",
Uchigō,内郷市,Fukushima,1954-10-01,1966-10-01,"merged with Taira, Iwaki (previous), Jōban, Nakoso → Iwaki (current)",
Nakoso,勿来市,Fukushima,1955-04-29,1966-10-01,"merged with Taira, Iwaki (previous), Jōban, Uchigō → Iwaki (current)",
Shirakawa (previous),白河市,Fukushima,1949-04-01,2005-11-07,"merged with Taishin, Higashi, Omotegō → Shirakawa (current)",
Nihonmatsu (previous),二本松市,Fukushima,1958-10-01,2005-12-01,"merged with Adachi, Iwashiro, Tōwa → Nihonmatsu (current)",
Haramachi,原町市,Fukushima,1954-03-20,2006-01-01,"merged with Kashima, Odaka → Minamisōma",
Kitakata (previous),喜多方市,Fukushima,1954-03-31,2006-01-04,"merged with Shiokawa, Yamato, Atsushiokanō, Takasato → Kitakata (current)",
Ena (previous),恵那市,Gifu,1954-04-01,2004-10-25,"merged with Akechi, Iwamura, Kamiyahagi, Yamaoka, Kushihara → Ena (current)",
Isesaki (previous),伊勢崎市,Gunma,1940-09-13,2005-01-01,"merged with Akabori, Sakai, Azuma → Isesaki (current)",
Ōta (previous),太田市,Gunma,1948-05-03,2005-03-28,"merged with Nitta, Ojima, Yabuzukahon → Ōta (current)",
Shibukawa (previous),渋川市,Gunma,1954-04-01,2006-02-20,"merged with Ikaho, Komochi, Onogami, Akagi, Kitatachibana → Shibukawa (current)",
Annaka (previous),安中市,Gunma,1958-11-01,2006-03-18,merged with Matsuida → Annaka (current),
Tomioka (previous),富岡市,Gunma,1954-04-01,2006-03-27,merged with Myōgi → Tomioka (current),
Fukuyama (previous),福山市,Hiroshima,1916-07-01,1966-05-01,merged with Matsunaga → Fukuyama (current),
Matsunaga,松永市,Hiroshima,1954-03-31,1966-05-01,merged with Fukuyama (previous) → Fukuyama (current),
Miyoshi,三次市,Hiroshima,1954-03-31,2004-04-01,"merged with Kisa, Mirasaka, Miwa, Funo, Kimita, Sakugi, Kōnu → Miyoshi (current)",
Mihara,三原市,Hiroshima,1936-11-15,2005-03-22,"merged with Daiwa, Kui, Hongō → Mihara (current)",
Shōbara,庄原市,Hiroshima,1954-03-31,2005-03-31,"merged with Hiwa, Kuchiwa, Saijō, Takano, Tōjō, Sōryō → Shōbara (current)",
Innoshima,因島市,Hiroshima,1953-05-01,2006-01-10,merged with Setoda into Onomichi,
Kushiro (previous),釧路市,Hokkaido,1922-08-01,2005-10-11,"merged with Akan, Onbetsu → Kushiro (current)",
Kitami (previous),北見市,Hokkaido,1942-06-10,2006-03-05,"merged with Rubeshibe, Tanno, Tokoro → Kitami (current)",
Shibetsu (previous),士別市,Hokkaido,1954-07-01,2005-09-01,merged with Asahi → Shibetsu (current),
Nayoro (previous),名寄市,Hokkaido,1956-04-01,2006-03-27,merged with Fūren → Nayoro (current),
Kameda,亀田市,Hokkaido,1971-11-01,1973-12-01,merged into Hakodate,
Amagasaki (previous),尼崎市,Hyōgo,,1936-04-01,,
Miki (previous),三木市,Hyōgo,,1954-07-01,,
Toyooka (previous),豊岡市,Hyōgo,,2005-04-01,,
Nishiwaki (previous),西脇市,Hyōgo,,2005-10-01,,
Tatsuno,龍野市,Hyōgo,,2005-10-01,,
Sumoto (previous),洲本市,Hyōgo,,2006-02-11,,
Katsuta,勝田市,Ibaraki,,1994-11-01,,
Nakaminato,那珂湊市,Ibaraki,,1994-11-01,,
Iwai,岩井市,Ibaraki,,2005-03-22,,
Shimodate,下館市,Ibaraki,,2005-03-28,,
Koga (previous),古河市,Ibaraki,,2005-09-12,,
Ishioka (previous),石岡市,Ibaraki,,2005-10-01,,
Kasama (previous),笠間市,Ibaraki,,2006-03-19,,
Nanao (previous),七尾市,Ishikawa,,2004-10-01,,
Mattō,松任市,Ishikawa,,2005-02-01,,
Kaga (previous),加賀市,Ishikawa,,2005-10-01,,
Wajima (previous),輪島市,Ishikawa,,2006-02-01,,
Ichinoseki (previous A),一関市,Iwate,,1955-01-01,,
Kamaishi (previous),釜石市,Iwate,,1955-04-01,,
Kitakami (previous),北上市,Iwate,,1991-04-01,,
Miyako (previous),宮古市,Iwate,,2005-06-06,,
Ichinoseki (previous B),一関市,Iwate,,2005-09-20,,
Tōno (previous),遠野市,Iwate,,2005-10-01,,
Hanamaki (previous),花巻市,Iwate,,2006-01-01,,
Ninohe (previous),二戸市,Iwate,,2006-01-01,,
Mizusawa,水沢市,Iwate,,2006-02-20,,
Esashi,江刺市,Iwate,,2006-02-20,,
Kuji (previous),久慈市,Iwate,,2006-03-06,,
Marugame (previous),丸亀市,Kagawa,,2005-03-22,,
Kan'onji (previous),観音寺市,Kagawa,,2005-10-11,,
Kagoshima (previous),鹿児島市,Kagoshima,,1967-04-29,,
Taniyama,谷山市,Kagoshima,,1967-04-29,,
Sendai (previous),川内市,Kagoshima,,2004-10-12,,
Kushikino,串木野市,Kagoshima,,2005-10-11,,
Kaseda,加世田市,Kagoshima,,2005-11-07,,
Kokubu,国分市,Kagoshima,,2005-11-07,,
Kanoya (previous),鹿屋市,Kagoshima,,2006-01-01,,
Ibusuki (previous),指宿市,Kagoshima,,2006-01-01,,
Izumi (previous),出水市,Kagoshima,,2006-03-13,,
Naze,名瀬市,Kagoshima,,2006-03-20,,
Ōkuchi,大口市,Kagoshima,,2008-11-01,,
Toyohara,豊原市,Karafuto,1937-07-01,1949-06-01,renounced Karafuto sovereign rights to the USSR,
Hatogaya,鳩ヶ谷市,Saitama,1967-03-01,2011-10-11,merged into Kawaguchi,
Ōmiya,大宮市,Saitama,1940-11-03,2001-05-01,merged into Saitama,
Imaichi,今市市,Tochigi,1954-03-31,2006-03-20,merged into Nikkō,
Tokyo,東京市,Tokyo-fu,1889-05-01,1943-07-01,merged with Tokyo-fu → Tokyo Metropolis (see Special wards),
Akigawa,秋川市,Tokyo,1972-05-05,1995-09-01,merged with Itsukaichi → Akiruno,
Tanashi,田無市,Tokyo,1967-01-01,2001-01-21,merged with Hōya → Nishitōkyō,
Hōya,保谷市,Tokyo,1967-01-01,2001-01-21,merged with Tanashi → Nishitōkyō,
